45,Cotton Candy,"Capture the whimsical delight of Cotton Candy flavor. This fluffy, airy, and sweet profile delivers a melt-in-your-mouth burst of pure sugary nostalgia, perfect for confections, beverages, and fun applications seeking a joyful and magical touch.",Sweets
46,Cranberry,"Brighten your palate with the vibrant zest of Cranberry flavor. Its distinctive tarty and sweet profile delivers a juicy burst of authentic berry, perfect for beverages, sweets, and confectionery seeking a refreshing and invigorating fruit note.",Fruits
47,Cream,"Enrich your creations with the smooth indulgence of Cream flavor. Its velvety, sweet, and comforting profile delivers a luscious dairy essence, perfect for enhancing desserts, brews, confectionery, and baked goods with a rich and satisfying touch.",Creams
48,Creme Caramel,"Delight in the silky elegance of Crème Caramel flavor. This luxurious profile combines rich, sweet cream with deep, caramelized sugar notes, delivering a comforting and sophisticated dessert essence perfect for dairy, confections, and baked goods.",Desserts
49,Custard,"Embrace the comforting richness of Custard flavor. Its smooth, sweet, and velvety profile delivers a classic, creamy essence with delicate vanilla notes, perfect for dairy, baked goods, confectionery, and sweets seeking a truly wholesome and satisfying taste.",Creams
50,Double Black,"Unveil the intriguing harmony of blackcurrant & licorice. This sophisticated blend marries the tart, juicy intensity of blackcurrant with the distinctive, sweet-anise notes of licorice, creating a bold and unforgettable profile perfect for confections, beverages, and adventurous creations.",Fruits
51,Energy,"Attach your wings with Energy flavor. Its unique, sweet, and fruity profile delivers the unmistakable, invigorating essence of the iconic energy drink, perfect for beverages, confections, and specialty applications seeking an exhilarating boost.",Beverages
52,Exotic Fruit,"Immerse yourself in the vibrant taste of Exotic Fruits flavor. This tantalizing profile bursts with tropical tang and aromatic sweetness, delivering a refreshing and adventurous essence perfect for beverages, desserts, confections, baked goods and unique culinary creations.",Fruits
53,Glazed Donut,"Wrap your senses in the comforting warmth of Glazed Donut flavor. This delightful profile captures the essence of a freshly baked donut coated in a sweet, slightly caramalized glaze, perfect for confections, dairy, baked goods, and sweets seeking a universally loved and sweetly satisfying treat.",Sweets
54,Grape,"Unleash the vibrant sweetness of Grape flavor. This succulent juicy profile bursts with the authentic taste of ripe, plump grapes, delivering a refreshing and beloved fruit essence perfect for beverages, confections, desserts, and sweets.",Fruits
55,Black Grape,"Dive into the rich, deep intensity of Black Grape flavor. This bold profile captures the luscious tartness of dark, fresh grapes, delivering a distinctly Middle Eastern profile for sweets, confections, desserts, and specialty applications.",Fruits
56,Grape Cranberry,"Invigorate your senses with the vibrant fusion of Grape & Cranberry flavor. This lively profile perfectly balances the crisp, tarty notes of fresh grape with the bright, zesty tang of cranberry, delivering a refreshing and complex fruit blend ideal for beverages, confections, and unique culinary creations.",Fruits
57,Guava,"Transport yourself to the tropics with the sweet, aromatic essence of Guava flavor. Its unique, luscious, and subtly tangy profile delivers a burst of exotic paradise, perfect for beverages, confections, desserts, and sweets seeking a vibrant and authentic fruit note.",Fruits
58,Roasted Hazelnut,"Uncover the comforting warmth of Roasted Hazelnut flavor. This rich, nutty, and subtly sweet profile delivers the distinctive essence of perfectly toasted hazelnuts, ideal for confectionery, brews, baked goods, and dairy products seeking a sophisticated and inviting taste.",Herbs & Nuts
59,Hazelnut,"Wrap your senses in the comforting allure of Hazelnut flavor. This delightful profile blends the classic, rich nuttiness of hazelnut with an extra touch of smooth sweetness, perfect for confectionery, brews, baked goods, and dairy products seeking a universally loved and inviting taste.",Herbs & Nuts
60,Honey,"Elevate your senses with the delicate sweetness of Honey flavor. Its luminous profile captures the intricate floral notes of blossoms and sun-drenched nectar, offering a bold and aromatic essence perfect for brews, confections, desserts and sweets seeking a truly refined sweetness.",Sweets
61,Hot Chocolate,"Cozy up with the comforting embrace of Hot Chocolate flavor. Its rich, creamy, and deeply satisfying profile delivers the classic warmth of melted chocolate and sweet dairy, perfect for brews, confectionery, and desserts seeking a nostalgic and utterly indulgent treat.",Beverages
62,Ice,"Chill your palate with the coolness of Ice. This flavorless enhancer delivers an immediate chill with a lingering cooling sensation, for specialty applications only.",Enhancers
63,Kiwi,"Brighten your palate with the vibrant tang of Kiwi flavor. Its distinctly sweet and tart profile delivers a juicy burst of tropical freshness, perfect for beverages, confections, desserts, and sweets seeking an exotic and invigorating fruit note.",Fruits
64,Lemon,"Awaken your senses with the zesty brightness of Lemon flavor. Its crisp, tangy, and subtly sweet profile delivers a burst of sunny citrus, perfect for beverages, baked goods, confectionery, and dairy applications seeking a refreshing and uplifting taste.",Fruits
65,Lemon Lime,"Invigorate your senses with the sharp zest of Lime flavor. Its bright, tangy, and refreshingly vibrant profile delivers a crisp burst of citrus, perfect for beverages, confectionery, sweets, and baked goods seeking a lively and exhilarating taste.",Fruits
66,Licorice,"Unveil the distinct, sweet-anise notes of Licorice flavor. Its bold, earthy, and aromatic profile delivers a unique, comforting essence with a subtle bittersweet finish, perfect for confections, beverages, and specialty applications seeking a classic and intriguing taste.",Herbs & Nuts
67,Lotus Cookie,"Wrap your senses in the comforting warmth of Lotus Cookie flavor. This distinctively cinnamon spiced and caramelized profile delivers the beloved taste of Europe's iconic speculoos cookie, perfect for confectionery, dairy, baked goods, and brews seeking a unique and irresistibly cozy taste.",Sweets
68,Lychee,"Transport yourself to exotic groves with the delicate sweetness of Lychee flavor. Its floral, juicy, and subtly tart profile delivers a unique burst of Asian-inspired delight, perfect for beverages, confections, desserts, and unique creations seeking an elegant and refreshing fruit note.",Fruits
69,Mango,"Immerse yourself in the fruity juice of Mango flavor. Its sweetish, tangy, and distinctly tropical profile delivers the authentic taste of  sun-kissed fresh mangoes, perfect for beverages, desserts, and confections seeking a burst of exotic refreshment.",Fruits
70,Alphonso Mango,"Relish the luxurious richness of Alphonso Mango flavor. This premium profile captures the intensely sweet, buttery, and incredibly pulpy essence of the ""King of Mangoes,"" perfect for beverages, desserts, dairy, and confections seeking unparalleled tropical decadence.",Fruits
71,Egyptian Mango,"Enchant your palate with the distinct sweetness of Egyptian Mango flavor. This aromatic profile delivers a captivating blend of intensely ripe, sun-drenched mango notes, perfect for beverages, desserts, dairy, and confections seeking an authentic taste of Middle Eastern summer.",Fruits
72,Maple,"Wrap your senses in the comforting warmth of Maple flavor. Its rich, sweet, and distinct caramalized sugar profile delivers the beloved essence of golden maple syrup, perfect for baked goods, confectionery, dairy, and sweets seeking a cozy and authentic touch.",Sweets
73,Marshmallow,"Indulge in the light, fluffy sweetness of Marshmallow flavor. Its soft, vanilla-infused profile delivers a comforting and melt-in-your-mouth essence, perfect for confectionery, brews, desserts, sweets and dairy applications seeking a delightful and nostalgic touch.",Sweets
74,Melon,"Brighten your palate with the juicy sweetness of Melon flavor. Its crisp, refreshing, and subtly sweet profile delivers the quintessential taste of summer, perfect for beverages, confections, dairy, and desserts seeking a light and invigorating fruit note.",Fruits
75,Melon Honeydew,"Delight in the smooth, sweet essence of Melon Honeydew flavor. This luscious profile captures the pure, refreshing taste of perfectly ripe honeydew melon, ideal for beverages, confections, dairy, and desserts seeking a subtly rich and hydrating tropical note.",Fruits
76,Menthol,"Invigorate your senses with the intense coolness of Menthol flavor. Its crisp, clean, and powerfully refreshing profile delivers an immediate, exhilarating chill, perfect for specialty applications seeking a strong sensation.",Herbs & Nuts
77,Milk,"Enrich your creations with the pure, creamy essence of Milk flavor. Its universally comforting and subtly sweet profile delivers a wholesome dairy note, perfect for dairy, desserts and baked goods seeking a foundational and harmonious taste.",Beverages
78,Condensed Milk,"Indulge in the rich sweetness of Condensed Milk flavor. This lusciously thick and creamy profile delivers a distinctively concentrated dairy essence with deep, sweet undertones, ideal for dairy, desserts and baked goods seeking an intensely satisfying and comforting touch.",Beverages
79,Mixed Berries,"Unfold the distinctive taste of Mixed Berries flavor. This unique blend captures the essence of Vimto and harmoniously combines juicy berries, sweet grapes, and a light hint of aromatic spices, delivering a refreshingly complex and beloved profile perfect for beverages, confections, dairy, desserts and sweets.",Fruits
80,Mulberry,"Embrace the juiciness of Mulberry flavor. This special profile captures the unique essence of Syrian berries, delicately balancing berry sweetness with subtle earthy notes, delivering a sophisticated and distinctly Middle Eastern fruit essence perfect for beverages, confections, dairy, desserts and sweets.",Fruits
81,Neutral Sweet,"Amplify the hidden sweetness of your creations with Neutral Sweet. This versatile enhancer imparts a soft, caramelized sweetness and a subtle cotton candy note, while rounding out harsh edges and boosting the overall sweetness of specialty applications only.",Enhancers
82,Orange,"Awaken your senses with the vibrant zest of Orange flavor. Its bright, sweet, and refreshingly tangy profile delivers the quintessential taste of sun-ripened citrus, perfect for beverages, confectionery, baked goods, and sweets seeking a cheerful and invigorating fruit note.",Fruits
83,Pancake,"Cozy up with the comforting embrace of Pancake flavor. This harmonious blend captures the wholesome warmth of freshly griddled pancakes infused with the rich, golden sweetness of pure maple syrup, perfect for dairy, confections, and sweets seeking a beloved and utterly satisfying breakfast indulgence.",Sweets
84,Passion Fruit,"Immerse yourself in the vibrant tang of Passion Fruit flavor. Its intensely aromatic, sweet, and distinctly tropical profile delivers a juicy burst of exotic refreshment, perfect for beverages, desserts, confections, and sweets seeking an adventurous and invigorating fruit note.",Fruits
85,Peach,"Delight in the juicy sweetness of Peach flavor. Its soft, aromatic, and subtly tart profile delivers the quintessential taste of sun-ripened peaches, perfect for beverages, desserts, confectionery, and dairy applications seeking a comforting and refreshing fruit note.",Fruits
86,Pear,"Savor the delicate sweetness of Pear flavor. Its crisp, juicy, and subtly fragrant profile delivers the quintessential taste of fresh, ripe pears, perfect for beverages, desserts, confections, and baked goods seeking a gentle and sophisticated fruit note.",Fruits
87,Peppermint,"Invigorate your senses with the intense, crisp coolness of Peppermint flavor. Its bold, refreshing profile delivers a powerful burst of icy mint with subtle sweet undertones, perfect for confectionery, sweets, beverages, and specialty applications seeking an exhilarating and lasting chill.",Herbs & Nuts
88,Petitgrain,"Elevate your senses with the sophisticated essence of Petitgrain flavor. Its crisp, green, and subtly citrus-floral profile delivers a refreshing and aromatic complexity, perfect for beverages, sweets, and desserts seeking an elegant botanical note.",Herbs & Nuts
89,Pinacolada,"Transport yourself to a tropical paradise with Pina Colada flavor. This luscious blend perfectly combines creamy coconut with sweet, tangy pineapple, delivering a refreshing and indulgent escape ideal for beverages, desserts, and confections seeking a vibrant, sun-drenched taste.",Beverages
90,Pineapple,"Brighten your palate with the vibrant sweetness of Pineapple flavor. Its juicy, tangy, and distinctly tropical profile delivers a refreshing burst of sun-drenched fruit, perfect for beverages, confections, desserts, and sweets seeking an exotic and invigorating taste.",Fruits
91,Pomegranate,"Unleash the vibrant, succulent sweetness of Pomegranate flavor. Its rich, juicy, and subtly tangy profile delivers a burst of refreshing fruit, perfect for beverages, confections, desserts, and sweets seeking an elegant and invigorating taste.",Fruits
92,Popcorn,"Uncover the comforting depth of Popcorn flavor. This robust profile captures the authentic taste of freshly popped and toasted corn, blended with subtly sweet buttery notes, perfect for confectionery and sweets seeking a gourmet and satisfying treat.",Sweets
93,Raspberry,"Unleash the vibrant sweetness of Raspberry flavor. Its juicy, fruity, and intensely aromatic profile delivers the authentic taste of ripe red raspberries, perfect for beverages, confections, desserts, baked goods, and dairy applications seeking a refreshing and beloved fruit note.",Fruits
94,Raspberry Candy,"Delight in the playful sweetness of Raspberry Candy flavor. This vibrant profile captures the essence of a classic sugary raspberry treat, bursting with juicy, bright berry notes and a fun, aromatic twist, perfect for sweets and desserts seeking an exciting pop of candied fruitiness.",Fruits
95,Red Mixed Fruits,"Unleash a symphony of red sweetness with Red Mixed Fruits flavor. This vibrant blend captures the luscious essence of sun-ripened berries and juicy red fruits, delivering a refreshing and harmonious burst of flavor perfect for beverages, confections, desserts, baked goods, dairy and sweets.",Fruits
96,Rose,"Elevate your creations with the bold, aromatic essence of Rose flavor. Its distinct floral sweetness and subtle perfumed notes deliver the elegant and refreshing touch of Middle Eastern rose water, perfect for beverages, confectionery, desserts and sweets.",Herbs & Nuts
97,Rum,"Immerse your creations in the exotic warmth of Rum flavor. Its distinct profile offers a symphony of sweet, spicy, and woody undertones, evoking the essence of aged spirits and tropical indulgence—perfect for adding depth to sweets and desserts.",Beverages
98,Shani,"Experience the distinctive thrill of Shani flavor. This refreshing blend delivers a juicy burst of sweet berries, combining luscious strawberry and tangy raspberry notes for a beloved and exhilarating sensation, perfect for beverages, confections, dairy, desserts and sweets.",Beverages
99,Snowflakes,"Dive into pure white bliss with Snowflakes flavor. This icy cool blend unites the tropical allure of milky coconut with the creamy, sweet indulgence of white chocolate, crafting a velvety smooth and utterly delightful profile ideal for desserts, confections, dairy and brews.",Fruits
100,Spearmint,"Brighten your palate with the smooth, sweet freshness of Spearmint flavor. Its gentle, fresh, and subtly herbaceous profile offers a milder, yet distinctly refreshing mint experience, ideal for confectionery, sweets, beverages, and specialty applications seeking a cool, natural essence.",Herbs & Nuts
101,Strawberry,"Unleash the vibrant sweetness of Strawberry flavor. Its juicy, bright, and universally loved profile delivers the quintessential taste of slightly-ripe, sun-kissed strawberries, perfect for beverages, confections, desserts, baked goods, dairy and sweets seeking a refreshing and cheerful fruit note.",Fruits
102,Strawberry - Mulberry,"Discover a delightful fusion with Strawberry & Mulberry flavor. This unique blend harmoniously combines the vibrant sweetness of sun-ripened strawberries with the subtle, earthy richness of mulberries, creating a complex yet comforting fruit profile perfect for beverages, confections, desserts, baked goods, dairy and sweets.",Fruits
103,Strawberry Cream,"Savor the luscious sweetness of Strawberry Cream flavor. This delightful blend marries the vibrant, juicy notes of ripe strawberries with a smooth, velvety creaminess, creating a comforting and irresistibly decadent profile perfect for sweets, dairy, baked goods, and desserts ",Fruits
104,Ripe Strawberry,"Indulge in the luscious sweetness of Ripe Strawberry flavor. This rich, intensely juicy, and deeply aromatic profile captures the full, sun-drenched essence of perfectly ripened strawberries, perfect for beverages, confections, desserts, baked goods, dairy and sweets seeking an authentic and irresistible burst of summer.",Fruits
105,Sweet,"Sweeten your creations with Sweet. This flavorless enhancer delivers satisfying sweetness without altering desired notes, perfect for beverages, sweets, desserts, and specialty applications seeking sweetness without the sugar.",Enhancers
106,Thyme,"Infuse your creations with the aromatic essence of Thyme flavor. Its earthy, subtly floral, and distinctly herbaceous profile delivers a warm, savory note, perfect for sweets and specialty applications seeking a sophisticated and natural touch.",Herbs & Nuts
107,Tiramisu,"Dive into the rich, decadent world of Tiramisu flavor. This sophisticated profile captures the harmonious blend of rich espresso, sweet cream, and sweet cocoa, delivering an indulgent and authentic Italian dessert experience perfect for brews, dairy and desserts.",Desserts
108,Tobacco,"Uncover the rich, earthy essence of Tobacco flavor. Its complex profile delivers warm, smoky, and nutty notes, evoking the natural depth and aroma of cured tobacco leaves—perfect for specialty applications seeking an authentic experience.",Tobacco
109,Toffee,"Indulge in the rich, buttery sweetness of Toffee flavor. Its deeply caramelized and subtly nutty profile delivers a comforting warmth, perfect for confectionery, dairy, sweets and brews seeking a classic and irresistible golden delight.",Sweets
110,Black Twist,"Dive into the dark, luscious depths of Black Twist flavor. This rich and complex blend captures the intense sweetness and subtle tartness of ripe blackcurrants, blackberries, and other dark berries, delivering a sophisticated and deeply satisfying burst of fruit perfect for confections, desserts, baked goods, and sweets.",Fruits
111,Red Twist,"Explore a vibrant medley of taste with Red Twist flavor. This dynamic fusion captures the succulent sweetness and invigorating tang of ripe berries and luscious red fruits, offering a versatile and refreshing burst perfect for confections, desserts, and sweets.",Fruits
112,Two Apples v.1,"Embrace the mighty Two Apples v.1 flavor. This signature Middle Eastern profile captures the crisp sweetness of red apples perfectly balanced with the refreshing tartness of green apples, both wrapped in light anise, delivering a sensational flavor sensation ideal for specialty applications.",Tobacco
113,Two Apples v.2,"Embrace the mighty Two Apples v.1 flavor. This signature Middle Eastern profile captures the crisp sweetness of red apples perfectly balanced with the refreshing tartness of green apples, both wrapped in moderate anise, delivering a sensational flavor sensation ideal for specialty applications.",Tobacco
114,Um Ali,"Indulge in the heartwarming tradition of Um Ali flavor. This comforting profile captures the rich essence of the beloved Egyptian bread pudding, blending sweet, creamy milk with notes of baked pastry, spices, and a hint of coconut, perfect for desserts, dairy, and sweets seeking a truly authentic and nostalgic Middle Eastern delight.",Desserts
115,Vanilla,"Wrap your creations in the universally loved warmth of Vanilla flavor. Its sweet, creamy, and exquisitely aromatic profile delivers a timeless essence, perfect for brews, baked goods, desserts, confectionery, sweets, and dairy seeking a comforting and versatile foundational note.",Creams
116,Vanilla Bean Ice Cream,"Dive into the creamy indulgence of Vanilla Bean Ice Cream flavor. This delightful profile captures the rich, velvety sweetness of classic vanilla bean ice cream, complete with luscious dairy notes and a smooth finish, perfect for brews, baked goods, desserts, confectionery, sweets, and dairy seeking a truly refreshing and satisfying treat.",Creams
117,Watermelon,"Dive into the pure essence of summer with Watermelon flavor. This vibrant, incredibly juicy, and naturally sweet profile captures the exhilarating freshness of ripe watermelon, making it perfect for beverages, confections, dairy, and desserts applications seeking a light and invigorating fruit note.",Fruits
118,Wild Berries,"Unleash the untamed sweetness of Wild Berries flavor. This vibrant and complex blend captures the elusive essence of sun-drenched forest fruits, delivering a rich, juicy, and subtly tart burst perfect for beverages, confectionery, desserts, dairy and sweets seeking an adventurous and authentic fruit medley.",Fruits
